,name,affiliation,location,city
0,Thames International College,TU,"Surya Bikram Gyawali Marg, Old Baneshwor", Kathmandu
1,Texas College of Management and IT,Lincoln University College,Siphal, Kathmandu
2,Ace Institute of Management,PU,"Bibhuti Janak Marg, New Baneshwor", Kathmandu
3,NCTTM - IST College,TU,"Gyaneshwor, Opposite to German Embassy", Kathmandu
4,Kathford International College of Engineering and Management,TU,Balkumari, Lalitpur
5,Nepal College of Information Technology (NCIT),PU,Balkumari, Lalitpur
6,Padmashree College,"TU, Nilai University, Malaysia",Tinkune, Kathmandu
7,Liberty College,PU,"Pragati Marg-2, Anamnagar", Kathmandu
8,Certified College of Accountancy (CCA),ACCA,"Thapagaun, New Baneshwor", Kathmandu
9,Janamaitri Multiple Campus,"NEB, TU",Kuleshwor, Kathmandu
10,Silver Mountain School of Hotel Management,"Queen Margaret University (UK), American Hospitality Academy, USA",Lainchaur, Kathmandu
11,Global College of Management,"NEB, TU",Mid-Baneshwor, Kathmandu
12,People's Campus,"NEB, TU",Paknajol, Kathmandu
13,NAMI College,"NEB, Cambridge GCE A Levels, University of Northampton, UK","Gokarneshwor-7, Jorpati, Gokarneshwar", Kathmandu
14,SAIM College,PU,Old Baneswor Chowk, Kathmandu
15,Kathmandu Don Bosco College,Purbanchal University,"Lazimpat, (North to Hotel Radisson)", Kathmandu
16,Public Youth Campus,TU,Dhobichaur, Kathmandu
17,Prime College,TU,"Naya Bazar, Khusibu", Kathmandu
18,KIST College & SS,"NEB, TU, Purbanchal University",Kamalpokhari, Kathmandu
19,Nepal Mega College,"NEB, TU",Babarmahal, Kathmandu
20,Tribhuvan University School of Management  (SOMTU),TU,Kirtipur, Kathmandu
21,Kantipur College of Management and Information Technology,TU,Mid Baneshwor, Kathmandu
22,The British College,"ACCA, Cambridge GCE A Levels, Leeds Beckett University, UK, University of the West of England, UK, Keele University","Trade Tower, Thapathali", Kathmandu
23,Softwarica College of IT and E-commerce,"Coventry University, UK",Dillibazar, Kathmandu
